arm,category,component,count,max,mean,min,stage,std
H,candle,entropy_abnormal,18,1.0077714920043945,0.8448067903518677,0.8044521808624268,3,0.04333715885877609
H,candle,routing_l1,18,0.08096478879451752,0.076936274766922,0.07516206055879593,3,0.0019061515340581536
H,candle,gap_ss2d_l1,18,1.7914249897003174,0.954574465751648,0.863825798034668,3,0.20443041622638702
A,candle,gap_normal,54,0.5739594101905823,0.3333333432674408,0.06969814002513885,1,0.20607642829418182
A,candle,gap_abnormal,54,0.5392882823944092,0.3333333432674408,0.03544019162654877,1,0.21546724438667297
A,candle,ss2d_normal,54,1.0,0.3333333432674408,5.612915340172574e-24,1,0.471404492855072
A,candle,ss2d_abnormal,54,1.0,0.3333333432674408,9.140530284140948e-31,1,0.471404492855072
A,candle,final_normal,54,0.5165634751319885,0.333333283662796,0.16272832453250885,1,0.14432337880134583
A,candle,final_abnormal,54,0.48535943031311035,0.3333333432674408,0.13189616799354553,1,0.14823225140571594
A,candle,entropy_normal,18,1.0023648738861084,1.0019416809082031,1.0013980865478516,1,0.0002603892353363335
A,candle,entropy_abnormal,18,0.9863027930259705,0.9860031604766846,0.9856200814247131,1,0.00018383876886218786
A,candle,routing_l1,18,0.12407232820987701,0.12381458282470703,0.12361845374107361,1,0.00012247433187440038
A,candle,gap_ss2d_l1,18,1.8606036901474,1.8597216606140137,1.8590319156646729,1,0.0004233470535837114
A,candle,gap_normal,54,0.5518054962158203,0.3333333730697632,0.08160436153411865,2,0.19105787575244904
A,candle,gap_abnormal,54,0.5374746322631836,0.3333333432674408,0.05535905435681343,2,0.20178093016147614
A,candle,ss2d_normal,54,0.9999971389770508,0.3333333432674408,1.4507283010250625e-26,2,0.47140246629714966
A,candle,ss2d_abnormal,54,0.999821126461029,0.3333333432674408,1.655742332751863e-31,2,0.47127795219421387
A,candle,final_normal,54,0.5966246724128723,0.3333333432674408,0.0734439268708229,2,0.2114190012216568
A,candle,final_abnormal,54,0.5837092399597168,0.333333283662796,0.04982314631342888,2,0.2174740731716156
A,candle,entropy_normal,18,0.8868502378463745,0.871003270149231,0.8657673597335815,2,0.0057899528183043
A,candle,entropy_abnormal,18,0.8521720170974731,0.8366265892982483,0.8315513134002686,2,0.005653615575283766
A,candle,routing_l1,18,0.07307231426239014,0.07227236032485962,0.06985332071781158,2,0.0008820018265396357
A,candle,gap_ss2d_l1,18,0.9233754873275757,0.90305095911026,0.8963832855224609,2,0.007404108997434378
